X,Y,OBJECTID_1,OBJECTID,TYPE,ELEV
-71.049828962808604,42.35015281775182,1001,10285,PARKING-METER,0
-71.049703346416152,42.350093449464815,1002,10286,PARKING-METER,0
-71.049578717568295,42.350036730867679,1003,10287,PARKING-METER,0
-71.049453168719367,42.349979362118951,1004,10288,PARKING-METER,0
-71.047217708898941,42.348703364112474,1005,10290,PARKING-METER,0
-71.046642181932185,42.34951206519527,1006,10308,PARKING-METER,0
-71.049316815627506,42.350802548828028,1007,10311,PARKING-METER,0
-71.048975211060991,42.35057921079985,1008,10312,PARKING-METER,0
-71.048866437404797,42.350511689792796,1009,10313,PARKING-METER,0
-71.049091662553408,42.350655992510127,1010,10314,PARKING-METER,0
-71.048897398102113,42.349471634511069,1011,10315,PARKING-METER,0
-71.048788974855327,42.349419417960902,1012,10316,PARKING-METER,0
-71.049150771513723,42.350910764022977,1013,10327,PARKING-METER,0
-71.049643000534601,42.349810870508129,1014,10329,PARKING-METER,0
-71.049783286394742,42.349875029142602,1015,10330,PARKING-METER,0
-71.049897221513532,42.349926904401201,1016,10331,PARKING-METER,0
-71.050076679908344,42.350007893923667,1017,10332,PARKING-METER,0
-71.050191330489724,42.350061120325385,1018,10333,PARKING-METER,0
-71.050306583572194,42.350112254886717,1019,10334,PARKING-METER,0
-71.050436186871096,42.350172756262914,1020,10335,PARKING-METER,0
-71.049422842863279,42.350869658909524,1021,10336,PARKING-METER,0
-71.046072766237216,42.349391978527137,1022,10341,PARKING-METER,0
-71.046217889459484,42.349414960517649,1023,10342,PARKING-METER,0
-71.046360854937106,42.349442326342029,1024,10343,PARKING-METER,0
-71.046503022194372,42.349474394671915,1025,10344,PARKING-METER,0
-71.046920702545293,42.349777855410949,1026,10348,PARKING-METER,0
-71.046860472715409,42.349871123408612,1027,10349,PARKING-METER,0
-71.04679978385532,42.349964061857719,1028,10350,PARKING-METER,0
-71.046737731658368,42.350056682498014,1029,10351,PARKING-METER,0
-71.046665756265384,42.350150097654272,1030,10352,PARKING-METER,0
-71.04659463747646,42.350241490482944,1031,10353,PARKING-METER,0
-71.04651873798737,42.350337234435052,1032,10354,PARKING-METER,0
-71.046448139728071,42.350431638002632,1033,10355,PARKING-METER,0
-71.0463739276627,42.350526086689058,1034,10356,PARKING-METER,0
-71.046300190060265,42.350621534722968,1035,10357,PARKING-METER,0
-71.046156236484549,42.350808364417539,1036,10358,PARKING-METER,0
-71.04608162434161,42.350905164697373,1037,10359,PARKING-METER,0
-71.046008314279135,42.350999601397895,1038,10360,PARKING-METER,0
-71.045934575573256,42.351095049187386,1039,10361,PARKING-METER,0
-71.045998669929432,42.351258217436573,1040,10362,PARKING-METER,0
-71.046166331808408,42.351040923785405,1041,10363,PARKING-METER,0
-71.046237436292017,42.350948860457194,1042,10364,PARKING-METER,0
-71.04631249248844,42.350851719718634,1043,10365,PARKING-METER,0
